4482 Color(h=19, s=62, v=94)
4502 Color(h=3, s=48, v=57)
4542 Color(h=19, s=62, v=94)
4562 Color(h=191, s=19, v=66)
4582 Color(h=3, s=48, v=57)
4602 Color(h=19, s=62, v=94)
4622 Color(h=191, s=19, v=66)
4662 Color(h=19, s=62, v=94)
4682 Color(h=195, s=15, v=31)
4702 Color(h=19, s=62, v=94)
4722 Color(h=3, s=48, v=57)
4762 Color(h=19, s=62, v=94)
4842 Color(h=11, s=75, v=88)
4882 Color(h=3, s=48, v=57)
4902 Color(h=354, s=70, v=65)
4922 Color(h=19, s=62, v=94)
4942 Color(h=353, s=89, v=98)
4982 Color(h=19, s=62, v=94)
5002 Color(h=21, s=65, v=100)
5042 Color(h=3, s=48, v=57)
5062 Color(h=191, s=19, v=66)
5082 Color(h=19, s=62, v=94)
5102 Color(h=191, s=19, v=66)
5122 Color(h=3, s=48, v=57)
5142 Color(h=19, s=62, v=94)
5162 Color(h=191, s=19, v=66)
5182 Color(h=3, s=48, v=57)
5242 Color(h=19, s=62, v=94)
5262 Color(h=191, s=19, v=66)
5282 Color(h=19, s=62, v=94)
The program was stopped (SystemExit).
